Group,Name,Also matches,Address,Source,Latitude,Longitude,Map link,Needs check,Correction
Health,DeTar Cancer Center,cancer,606 E Nueces St,RidePilot,28.80685,-96.99825,"https://www.google.com/maps?q=28.80685,-96.99825",,
Health,DeTar Imaging Center,imaging; x-ray; MRI,115 Medical Dr Ste 107,RidePilot,28.85544,-97.01999,"https://www.google.com/maps?q=28.85544,-97.01999",,
Health,Victoria DaVita Dialysis,dialysis; DaVita; Victoria Kidney,1405 Victoria Station,RidePilot,28.83435,-96.99226,"https://www.google.com/maps?q=28.83435,-96.99226",,
Health,Spring Creek Dialysis,dialysis,301 E Airline Rd,RidePilot,28.82032,-97.00196,"https://www.google.com/maps?q=28.82032,-97.00196",,
Health,Crescent View Medical Clinic,clinic,2501 N Navarro St,RidePilot,28.81787,-97.00039,"https://www.google.com/maps?q=28.81787,-97.00039",,
Health,Gulf Bend Center,Gulf Bend; mental health; MHMR,1408 Melrose,RidePilot,28.82967,-96.99144,"https://www.google.com/maps?q=28.82967,-96.99144",,
Health,VA Clinic,veterans; VA,1908 N Laurent St,RidePilot,28.81105,-96.99119,"https://www.google.com/maps?q=28.81105,-96.99119",,
Government and services,Victoria County Courthouse,courthouse; county,115 North Bridge Street,map data,28.7997,-97.00698,"https://www.google.com/maps?q=28.7997,-97.00698",,
Government and services,Victoria Public Library,library,302 N Main St,RidePilot,28.80115,-97.00478,"https://www.google.com/maps?q=28.80115,-97.00478",,
Government and services,Social Security Office,SSA; social security,8208 Northeast Zac Lentz Parkway,map data,28.8643,-97.00464,"https://www.google.com/maps?q=28.8643,-97.00464",,
Government and services,Victoria Transit Office,transit office; bus office; fare card; GCRPC; Golden Crescent,1502 E Airline Rd Suite 6,RidePilot,28.82123,-96.99102,"https://www.google.com/maps?q=28.82123,-96.99102",YES,
Government and services,"Victoria Transit, John Stockbauer",transit; GCRPC,4902 N John Stockbauer Dr,RidePilot,28.85659,-96.98594,"https://www.google.com/maps?q=28.85659,-96.98594",YES,
Government and services,Lighthouse for the Blind,Lighthouse,5602 John Stockbauer Dr,RidePilot,28.8222,-96.9501,"https://www.google.com/maps?q=28.8222,-96.9501",,
Government and services,Food Bank of Victoria,food bank,3809 E Rio Grande St,RidePilot,28.80822,-96.96501,"https://www.google.com/maps?q=28.80822,-96.96501",,
Government and services,Christ's Kitchen,Christs Kitchen; soup kitchen,1709 E Warren Ave,RidePilot,28.81655,-96.98736,"https://www.google.com/maps?q=28.81655,-96.98736",,
Government and services,Salvation Army,,4203 N Navarro St,RidePilot,28.83286,-97.00152,"https://www.google.com/maps?q=28.83286,-97.00152",,
Government and services,Downtown Post Office,post office; USPS,312 South Main Street,map data,28.79686,-97.00666,"https://www.google.com/maps?q=28.79686,-97.00666",,
"Schools, parks, other",University of Houston-Victoria,UHV; university,3007 N Ben Wilson St,RidePilot,28.81717,-96.97594,"https://www.google.com/maps?q=28.81717,-96.97594",,
"Schools, parks, other",Victoria College,VC; college,2200 E Red River St,RidePilot,28.8149,-96.98243,"https://www.google.com/maps?q=28.8149,-96.98243",,
"Schools, parks, other",Victoria Community Center,community center,2905 East North Street,map data,28.79602,-96.97911,"https://www.google.com/maps?q=28.79602,-96.97911",,
"Schools, parks, other",Riverside Park,park; zoo; Texas Zoo,Riverside Park Victoria,map data,28.81573,-97.01688,"https://www.google.com/maps?q=28.81573,-97.01688",,
"Schools, parks, other",Ethel Lee Tracy Park,Tracy Park,Ethel Lee Tracy Park Victoria,map data,28.87156,-96.98666,"https://www.google.com/maps?q=28.87156,-96.98666",,
"Schools, parks, other",Northcrest,Bingham Road,800 Bingham Road,map data,28.87369,-96.999,"https://www.google.com/maps?q=28.87369,-96.999",,
"Schools, parks, other",Victoria Regional Airport,airport,Victoria Regional Airport,map data,28.85408,-96.91812,"https://www.google.com/maps?q=28.85408,-96.91812",,
"Schools, parks, other",Planet Fitness,gym,5206 N Navarro St,RidePilot,28.84321,-97.00026,"https://www.google.com/maps?q=28.84321,-97.00026",,
Not yet on the list,DPS driver license office,,,,,,,,not in the map data or in RidePilot's common addresses
Not yet on the list,Victoria Housing Authority,,,,,,,,not found
Not yet on the list,Texas Health and Human Services office,,,,,,,,not found
Not yet on the list,Workforce Solutions Golden Crescent,,,,,,,,"not found; believed to be 120 S Main, please confirm"
Not yet on the list,Greyhound / intercity bus stop,,,,,,,,not found
Not yet on the list,Senior center,,,,,,,,not found; is there one riders use?
